date,value
2020-01-01,51.523585398772155
2020-01-02,53.030887691391186
2020-01-03,64.32642009221898
2020-01-04,60.27873397916427
2020-01-05,37.55494239337064
2020-01-06,35.80025487683759
2020-01-07,45.292286109308606
2020-01-08,51.30054356876616
2020-01-09,61.02571223467608
2020-01-10,59.184297441137495
2020-01-11,62.84398735317524
2020-01-12,54.0651914232348
2020-01-13,45.501739319955576
2020-01-14,53.14333892541548
2020-01-15,58.066264668815876
2020-01-16,59.65242911595383
2020-01-17,68.12395804442387
2020-01-18,56.47408932353951
2020-01-19,57.38011278941078
2020-01-20,47.7230203083708
2020-01-21,49.37263253128011
2020-01-22,55.10194538397322
2020-01-23,72.82685675705743
2020-01-24,68.25952236016823
2020-01-25,61.86486333846571
2020-01-26,53.950559721661634
2020-01-27,53.34226397688002
2020-01-28,54.81627530309801
2020-01-29,63.24575441667801
2020-01-30,71.52649104171013
2020-01-31,82.38073664615985
2020-02-01,64.59620964399544
2020-02-02,55.752615495990234
2020-02-03,49.19464712684366
2020-02-04,58.63131338775276
2020-02-05,69.36826625941879
2020-02-06,71.32230411632132
2020-02-07,69.96910978198687
2020-02-08,64.98041311342
2020-02-09,64.0178780456568
2020-02-10,59.406833585859914
2020-02-11,60.66963018383412
2020-02-12,62.773120323891646
2020-02-13,75.40437192367673
2020-02-14,77.07855091454367
2020-02-15,72.4946514157986
2020-02-16,67.39306845725666
2020-02-17,59.05164193969307
2020-02-18,63.56309717164927
2020-02-19,68.62429022595214
2020-02-20,77.84543884548472
2020-02-21,81.77789380314503
2020-02-22,66.21132699673544
2020-02-23,63.50255461132092
2020-02-24,57.615406261883784
2020-02-25,58.975904700822554
2020-02-26,68.88015691482083
2020-02-27,85.8112894213394
2020-02-28,76.19587452930176
2020-02-29,80.20849023710356
2020-03-01,58.5225575894724
2020-03-02,60.0944420363143
2020-03-03,64.7508675100027
2020-03-04,74.91861764556987
2020-03-05,83.588812550664
2020-03-06,86.15196194950822
2020-03-07,75.24741818206738
2020-03-08,66.21250323816099
2020-03-09,67.60918510994668
2020-03-10,64.49378485409315
2020-03-11,67.0847384740394
2020-03-12,75.8040726316429
2020-03-13,78.98767467753973
2020-03-14,80.83816649771121
2020-03-15,70.559057992622
2020-03-16,68.05549787578195
2020-03-17,64.55866886558326
2020-03-18,75.46112788993716
2020-03-19,85.76413889757264
2020-03-20,83.16409738715429
2020-03-21,81.72215733824902
2020-03-22,67.58306284687218
2020-03-23,63.79324233412501
2020-03-24,65.7512045971661
2020-03-25,69.61357094993488
2020-03-26,85.95463513424595
2020-03-27,83.20653059214685
2020-03-28,80.30248279705019
2020-03-29,74.05708031293429
2020-03-30,68.56066204947646
2020-03-31,71.6650832533687
2020-04-01,75.73731553934894
2020-04-02,81.99891841881356
2020-04-03,85.70921750622229
2020-04-04,72.31621311660885
2020-04-05,64.88925460009531
2020-04-06,60.14457720946016
2020-04-07,63.740606378957516
2020-04-08,78.57593740585388
2020-04-09,79.89401754872152
2020-04-10,84.48172943484822
2020-04-11,87.47255469130107
2020-04-12,70.52589496187177
2020-04-13,70.58700874589415
2020-04-14,64.15916551001679
2020-04-15,75.60946173565773
2020-04-16,79.69017984456487
2020-04-17,84.65568438670228
2020-04-18,85.11583995034522
2020-04-19,63.56823745476806
2020-04-20,68.92908467500668
2020-04-21,69.83356224595767
2020-04-22,73.44382062019649
2020-04-23,76.94841979992297
2020-04-24,86.41063355544705
2020-04-25,77.9269201095827
2020-04-26,72.98949555983681
2020-04-27,66.44894654138072
2020-04-28,76.19820776441729
2020-04-29,74.72420767545063
2020-04-30,78.52991123595199
2020-05-01,86.37762706802536
2020-05-02,81.06851331158364
2020-05-03,77.97940307124321
2020-05-04,69.83612917356012
2020-05-05,69.25843494527597
2020-05-06,82.48649928408985
2020-05-07,76.91717916217968
2020-05-08,81.46105820627989
2020-05-09,74.47957329160349
2020-05-10,68.34409055603736
